rank,domain,citations,type
1,pipeline.zoominfo.com,132,vendor_authored
2,gartner.com,110,analyst
3,algolia.com,69,vendor_authored
4,g2.com,57,review_platform
5,salesmotion.io,50,vendor_authored
6,guideflow.com,47,vendor_authored
7,improvado.io,46,vendor_authored
8,6sense.com,35,vendor_authored
9,demandbase.com,32,vendor_authored
10,peoplemanagingpeople.com,31,independent_media
11,voyado.com,31,vendor_authored
12,sourceforge.net,30,review_platform
13,userpilot.com,28,vendor_authored
14,salesforce.com,27,vendor_authored
15,trustradius.com,24,review_platform
16,reachdesk.com,24,vendor_authored
17,warmly.ai,24,vendor_authored
18,influ2.com,24,vendor_authored
19,thedigitalprojectmanager.com,22,independent_media
20,netguru.com,21,independent_media
21,thecmo.com,21,independent_media
22,zenabm.com,21,vendor_authored
23,capterra.com,20,review_platform
24,factors.ai,20,vendor_authored
25,tofuhq.com,19,vendor_authored
26,statsig.com,19,vendor_authored
27,softwareworld.co,18,independent_media
28,ziellab.com,18,vendor_authored
29,usepylon.com,18,vendor_authored
30,insiderone.com,17,vendor_authored
31,thecxlead.com,17,vendor_authored
32,atlan.com,17,vendor_authored
33,rootly.com,17,vendor_authored
34,learn.g2.com,16,vendor_authored
35,ovaledge.com,16,vendor_authored
36,edesk.com,16,vendor_authored
37,cirrusinsight.com,15,vendor_authored
38,orm-tech.com,15,vendor_authored
39,getapp.com,14,review_platform
40,tellius.com,14,vendor_authored
41,luigisbox.com,14,vendor_authored
42,domo.com,14,vendor_authored
43,integrate.io,14,vendor_authored
44,cometly.com,14,vendor_authored
45,hockeystack.com,14,vendor_authored
46,storylane.io,14,vendor_authored
47,rb2b.com,14,vendor_authored
48,aisdr.com,14,vendor_authored
49,slashdot.org,13,review_platform
50,getmaxiq.com,13,vendor_authored
51,oliv.ai,13,vendor_authored
52,bloomreach.com,13,vendor_authored
53,querio.ai,13,vendor_authored
54,ibeamconsulting.com,13,vendor_authored
55,cdp.com,13,vendor_authored
56,research.com,12,vendor_authored
57,softwareadvice.com,12,review_platform
58,maestra.io,12,vendor_authored
59,peerspot.com,12,review_platform
60,cuspera.com,12,vendor_authored
61,forecastio.ai,12,vendor_authored
62,zigpoll.com,12,vendor_authored
63,uselayers.com,12,vendor_authored
64,monday.com,12,vendor_authored
65,prospeo.io,12,vendor_authored
66,featurebase.app,12,vendor_authored
67,posthog.com,12,vendor_authored
68,avoma.com,11,vendor_authored
69,loadstone.io,11,vendor_authored
70,nosto.com,11,vendor_authored
71,marketbetter.ai,11,vendor_authored
72,goconsensus.com,11,vendor_authored
73,kustomer.com,11,vendor_authored
74,info.constructor.com,11,vendor_authored
75,selectsoftwarereviews.com,11,vendor_authored
76,zonkafeedback.com,11,vendor_authored
77,saasworthy.com,10,review_platform
78,revenue.io,10,vendor_authored
79,default.com,10,vendor_authored
80,b2bsaasreviews.com,10,vendor_authored
81,cognism.com,10,vendor_authored
82,zapier.com,10,independent_media
83,addsearch.com,10,vendor_authored
84,bigtime.net,9,vendor_authored
85,etropo.com,9,vendor_authored
86,11x.ai,9,vendor_authored
87,zoovu.com,9,vendor_authored
88,experro.com,9,vendor_authored
89,mutinyhq.com,9,vendor_authored
90,hginsights.com,9,vendor_authored
91,walnut.io,9,vendor_authored
92,testbox.com,9,vendor_authored
93,coveo.com,9,vendor_authored
94,abmatic.ai,9,vendor_authored
95,signeasy.com,9,vendor_authored
96,coworker.ai,9,vendor_authored
97,hevodata.com,9,vendor_authored
98,eqvista.com,9,vendor_authored
99,censis.com,8,vendor_authored
100,archieapp.co,8,vendor_authored
