brand,mentions,category_sweeps_present,share_of_all_answers_pct
6sense,123,14,14.3
Demandbase,101,13,11.7
Algolia,63,9,7.3
Gong,37,4,4.3
Bloomreach,30,4,3.5
Zendesk,29,4,3.4
Terminus,27,5,3.1
Constructor,27,5,3.1
Clari,26,4,3.0
Freshdesk,21,3,2.4
Klevu,21,5,2.4
Fivetran,19,2,2.2
ThoughtSpot,18,2,2.1
Segment,17,2,2.0
Float,16,3,1.9
Chorus,15,3,1.7
Airbyte,15,2,1.7
Userpilot,14,2,1.6
Retool,13,2,1.5
Culture Amp,12,2,1.4
Dreamdata,12,2,1.4
RollWorks,11,2,1.3
Nosto,11,2,1.3
Gorgias,10,2,1.2
Intercom,10,2,1.2
Drata,10,1,1.2
Sprinto,10,1,1.2
PagerDuty,10,1,1.2
Calendly,9,1,1.0
Coveo,9,2,1.0
Shopify,9,1,1.0
ChurnZero,9,1,1.0
Officevibe,9,2,1.0
Contentful,9,1,1.0
Walnut,9,2,1.0
PowerPoint,9,1,1.0
Tealium,9,2,1.0
Airtable,9,1,1.0
Influitive,9,1,1.0
Planview,8,3,0.9
SOCi,8,1,0.9
Gloat,8,1,0.9
Totango,8,1,0.9
Robin,8,1,0.9
Omnisend,8,1,0.9
Sanity,8,1,0.9
Carta,8,1,0.9
Pulley,8,1,0.9
Canva,8,1,0.9
Bombora,8,1,0.9
