question_id,category,engine,repeat_index,vendor,in_universe,measured_subject
Q0001,AI business intelligence software,chatgpt,1,Amazon Q in QuickSight,False,False
Q0001,AI business intelligence software,chatgpt,1,Amazon QuickSight Q,False,False
Q0001,AI business intelligence software,chatgpt,1,Copilot,False,False
Q0001,AI business intelligence software,chatgpt,1,Databricks AI/BI Genie,False,False
Q0001,AI business intelligence software,chatgpt,1,Databricks Genie,True,False
Q0001,AI business intelligence software,chatgpt,1,Fabric,False,False
Q0001,AI business intelligence software,chatgpt,1,Gemini Conversational Analytics,False,False
Q0001,AI business intelligence software,chatgpt,1,Looker,True,False
Q0001,AI business intelligence software,chatgpt,1,Looker Conversational Analytics,False,False
Q0001,AI business intelligence software,chatgpt,1,Power BI,False,False
Q0001,AI business intelligence software,chatgpt,1,Power BI Copilot,False,False
Q0001,AI business intelligence software,chatgpt,1,Pulse,False,False
Q0001,AI business intelligence software,chatgpt,1,QuickSight Q,False,False
Q0001,AI business intelligence software,chatgpt,1,Sigma,False,False
Q0001,AI business intelligence software,chatgpt,1,Spotter,False,False
Q0001,AI business intelligence software,chatgpt,1,Tableau Agent,False,False
Q0001,AI business intelligence software,chatgpt,1,Tableau Next,False,False
Q0001,AI business intelligence software,chatgpt,1,Tableau Semantics,False,False
Q0001,AI business intelligence software,chatgpt,1,ThoughtSpot,True,False
Q0001,AI business intelligence software,chatgpt,1,ThoughtSpot Spotter,False,False
Q0001,AI business intelligence software,claude,1,Improvado,True,False
Q0001,AI business intelligence software,claude,1,Lumi AI,False,False
Q0001,AI business intelligence software,claude,1,Metabase,False,False
Q0001,AI business intelligence software,claude,1,Microsoft Power BI,False,False
Q0001,AI business intelligence software,claude,1,Omni,True,False
Q0001,AI business intelligence software,claude,1,Power BI,False,False
Q0001,AI business intelligence software,claude,1,Sigma Computing,False,False
Q0001,AI business intelligence software,claude,1,Tableau,False,False
Q0001,AI business intelligence software,claude,1,ThoughtSpot,True,False
Q0001,AI business intelligence software,claude,1,Zenlytic,True,True
Q0001,AI business intelligence software,claude,1,Zoho Analytics,False,False
Q0001,AI business intelligence software,claude,2,AWS QuickSight,False,False
Q0001,AI business intelligence software,claude,2,Amazon Q,False,False
Q0001,AI business intelligence software,claude,2,BlazeSQL,False,False
Q0001,AI business intelligence software,claude,2,Metabase,False,False
Q0001,AI business intelligence software,claude,2,Metabot,False,False
Q0001,AI business intelligence software,claude,2,Mora,False,False
Q0001,AI business intelligence software,claude,2,Querio,False,False
Q0001,AI business intelligence software,claude,2,Spotter,False,False
Q0001,AI business intelligence software,claude,2,Supaboard,False,False
Q0001,AI business intelligence software,claude,2,Tableau,False,False
Q0001,AI business intelligence software,claude,2,Tableau Agent,False,False
Q0001,AI business intelligence software,claude,2,ThoughtSpot,True,False
Q0001,AI business intelligence software,claude,2,Zoho Analytics,False,False
Q0001,AI business intelligence software,claude,3,Domo,False,False
Q0001,AI business intelligence software,claude,3,Domo AI,False,False
Q0001,AI business intelligence software,claude,3,Draxlr,False,False
Q0001,AI business intelligence software,claude,3,IBM Cognos Analytics,False,False
Q0001,AI business intelligence software,claude,3,Julius AI,False,False
Q0001,AI business intelligence software,claude,3,Microsoft Power BI,False,False
Q0001,AI business intelligence software,claude,3,Querio,False,False
Q0001,AI business intelligence software,claude,3,Snowflake Cortex Analyst,False,False
Q0001,AI business intelligence software,claude,3,ThoughtSpot,True,False
Q0001,AI business intelligence software,google_aio,1,Microsoft Copilot,False,False
Q0001,AI business intelligence software,google_aio,1,Microsoft Power BI,False,False
Q0001,AI business intelligence software,google_aio,1,Omni,True,False
Q0001,AI business intelligence software,google_aio,1,ThoughtSpot,True,False
Q0001,AI business intelligence software,google_aio,2,Domo,False,False
Q0001,AI business intelligence software,google_aio,2,Microsoft Power BI,False,False
Q0001,AI business intelligence software,google_aio,2,Zoho Analytics,False,False
Q0001,AI business intelligence software,google_aio,3,BlazeSQL,False,False
Q0001,AI business intelligence software,google_aio,3,DataGPT,False,False
Q0001,AI business intelligence software,google_aio,3,Domo,False,False
Q0001,AI business intelligence software,google_aio,3,Microsoft Power BI,False,False
Q0001,AI business intelligence software,perplexity,1,BlazeSQL,False,False
Q0001,AI business intelligence software,perplexity,1,ChatGPT,False,False
Q0001,AI business intelligence software,perplexity,1,Claude,False,False
Q0001,AI business intelligence software,perplexity,1,Domo,False,False
Q0001,AI business intelligence software,perplexity,1,Draxlr,False,False
Q0001,AI business intelligence software,perplexity,1,Energent.ai,False,False
Q0001,AI business intelligence software,perplexity,1,Holistics,False,False
Q0001,AI business intelligence software,perplexity,1,Julius AI,False,False
Q0001,AI business intelligence software,perplexity,1,LayerNext,False,False
Q0001,AI business intelligence software,perplexity,1,Looker,True,False
Q0001,AI business intelligence software,perplexity,1,Looker Studio,False,False
Q0001,AI business intelligence software,perplexity,1,Metabase,False,False
Q0001,AI business intelligence software,perplexity,1,Microsoft Power BI,False,False
Q0001,AI business intelligence software,perplexity,1,Power BI,False,False
Q0001,AI business intelligence software,perplexity,1,Qlik Sense,False,False
